Conditional Mutex,2,0.143905
Conditional Mutex,4,0.13993
Conditional Mutex,4,0.142295
Conditional Mutex,8,0.139235
Conditional Mutex,8,0.141734
Conditional Mutex,16,0.141058
Conditional Mutex,16,0.142147
Conditional Mutex,32,0.141973
Conditional Mutex,32,0.143977
Conditional Mutex,64,0.148816
Conditional Mutex,64,0.150372
Conditional Mutex,128,0.161188
Conditional Mutex,128,0.17001
Conditional Mutex,256,0.198404
Conditional Mutex,256,0.20007
Conditional Mutex,512,0.253723
Conditional Mutex,512,0.258112
Conditional Mutex,1024,0.380471
Conditional Mutex,1024,0.382714
Conditional Mutex,2048,0.603737
Conditional Mutex,2048,0.613724
Conditional Mutex-alt,2,0.13749
Conditional Mutex-alt,2,0.144559
Conditional Mutex-alt,4,0.136955
Conditional Mutex-alt,4,0.141005
Conditional Mutex-alt,8,0.137865
Conditional Mutex-alt,8,0.137883
Conditional Mutex-alt,16,0.139899
Conditional Mutex-alt,16,0.14137
Conditional Mutex-alt,32,0.139852
Conditional Mutex-alt,32,0.142652
Conditional Mutex-alt,64,0.145523
Conditional Mutex-alt,64,0.147975
Conditional Mutex-alt,128,0.158444
Conditional Mutex-alt,128,0.169133
Conditional Mutex-alt,256,0.190956
Conditional Mutex-alt,256,0.192064
Conditional Mutex-alt,512,0.246559
Conditional Mutex-alt,512,0.247425
Conditional Mutex-alt,1024,0.382048
Conditional Mutex-alt,1024,0.382906
Conditional Mutex-alt,2048,0.594063
Conditional Mutex-alt,2048,0.606172
T merge,2,0.0459792
T merge,2,0.0513572
T merge,4,0.0422375
T merge,4,0.0481171
T merge,8,0.0345939
T merge,8,0.0373558
T merge,16,0.0318368
T merge,16,0.0334439
T merge,32,0.0320211
T merge,32,0.034231
T merge,64,0.0328183
T merge,64,0.0335247
T merge,128,0.037738
T merge,128,0.0393
T merge,256,0.0467584
T merge,256,0.0480177
T merge,512,0.0612427
T merge,512,0.0616973
T merge,1024,0.0922703
T merge,1024,0.103737
T merge,2048,0.156382
T merge,2048,0.168136
Original,2,0.115757
Original,2,0.121009
Original,4,0.114215
Original,4,0.121059
Original,8,0.110476
Original,8,0.116519
Original,16,0.110796
Original,16,0.116049
Original,32,0.114575
Original,32,0.11726
Original,64,0.117524
Original,64,0.123407
Original,128,0.135761
Original,128,0.144396
Original,256,0.170123
Original,256,0.17698
Original,512,0.218825
Original,512,0.225767
Original,1024,0.329404
Original,1024,0.338787
Original,2048,0.498374
Original,2048,0.530842
Serial Vector,2,0.115822
Serial Vector,2,0.122112
Serial Vector,4,0.112425
Serial Vector,4,0.115973
Serial Vector,8,0.11171
Serial Vector,8,0.117332
Serial Vector,16,0.114332
Serial Vector,16,0.118757
Serial Vector,32,0.115083
Serial Vector,32,0.120791
Serial Vector,64,0.124958
Serial Vector,64,0.126318
Serial Vector,128,0.134929
Serial Vector,128,0.144021
Serial Vector,256,0.166423
Serial Vector,256,0.167059
Serial Vector,512,0.211241
Serial Vector,512,0.212146
Serial Vector,1024,0.32317
Serial Vector,1024,0.33115
Serial Vector,2048,0.738115
Serial Vector,2048,0.758919
Mutex Lock,2,0.203387
Mutex Lock,2,0.21479
Mutex Lock,4,0.194181
Mutex Lock,4,0.210504
Mutex Lock,8,0.197822
Mutex Lock,8,0.214694
Mutex Lock,16,0.205222
Mutex Lock,16,0.217969
Mutex Lock,32,0.208805
Mutex Lock,32,0.220401
Mutex Lock,64,0.219732
Mutex Lock,64,0.231838
Mutex Lock,128,0.237523
Mutex Lock,128,0.259121
Mutex Lock,256,0.281576
Mutex Lock,256,0.298724
Mutex Lock,512,0.365294
Mutex Lock,512,0.37888
Mutex Lock,1024,0.542258
Mutex Lock,1024,0.563337
Mutex Lock,2048,0.864578
Mutex Lock,2048,0.883234
Conditional Mutex,2,0.139944
Conditional Mutex,2,0.148406
Conditional Mutex,4,0.141322
Conditional Mutex,4,0.152544
Conditional Mutex,8,0.139448
Conditional Mutex,8,0.147341
Conditional Mutex,16,0.192012
Conditional Mutex,16,0.20533
Conditional Mutex,32,0.143111
Conditional Mutex,32,0.150894
Conditional Mutex,64,0.147403
Conditional Mutex,64,0.157676
Conditional Mutex,128,0.163406
Conditional Mutex,128,0.178662
Conditional Mutex,256,0.193948
Conditional Mutex,256,0.204477
Conditional Mutex,512,0.255077
Conditional Mutex,512,0.265849
Conditional Mutex,1024,0.391289
Conditional Mutex,1024,0.409766
Conditional Mutex,2048,0.611685
Conditional Mutex,2048,0.637953
Conditional Mutex-alt,2,0.143441
Conditional Mutex-alt,2,0.15184
Conditional Mutex-alt,4,0.131768
Conditional Mutex-alt,4,0.145557
Conditional Mutex-alt,8,0.192719
