orig,0.712679,0.0294609,2
orig,0.647127,0.00787246,4
orig,0.391151,0.00882472,8
orig,0.292291,0.00945638,16
orig,0.146823,0.011544,32
orig,0.138191,0.015425,64
orig,0.133568,0.0227629,128
orig,0.128929,0.036178,256
orig,0.126196,0.0580264,512
orig,0.127466,0.094538,1024
orig,0.137204,0.153614,2048
orig,0.81579,0.0274223,2
orig,0.674073,0.00776861,4
orig,0.465791,0.00847743,8
orig,0.229932,0.00955746,16
orig,0.146004,0.01155,32
orig,0.138766,0.0155179,64
orig,0.133681,0.0227975,128
orig,0.129055,0.03618,256
orig,0.126178,0.0581024,512
orig,0.127264,0.0941758,1024
orig,0.137897,0.154453,2048
orig,0.723506,0.0274876,2
orig,0.738536,0.0080348,4
orig,0.376329,0.00815818,8
orig,0.228411,0.00931885,16
orig,0.150104,0.011607,32
orig,0.138192,0.0154435,64
orig,0.133445,0.0229114,128
orig,0.129419,0.036121,256
orig,0.126187,0.0578241,512
orig,0.127556,0.095203,1024
orig,0.137634,0.153407,2048
orig,0.668685,0.027522,2
orig,0.638792,0.0075869,4
orig,0.346777,0.00813652,8
orig,0.251919,0.00954657,16
orig,0.148316,0.0115404,32
orig,0.138677,0.0155208,64
orig,0.13372,0.0227698,128
orig,0.12891,0.0360118,256
orig,0.126418,0.0577373,512
orig,0.126878,0.0940578,1024
orig,0.137501,0.153233,2048
orig,0.965385,0.0275572,2
orig,0.601461,0.00817297,4
orig,0.355087,0.00856814,8
orig,0.242634,0.0092552,16
orig,0.152924,0.0113576,32
orig,0.138529,0.0159958,64
orig,0.134021,0.022852,128
orig,0.12932,0.0360827,256
orig,0.126298,0.0581439,512
orig,0.127251,0.094958,1024
orig,0.137643,0.154614,2048
orig,0.690891,0.0273691,2
orig,0.57479,0.00821552,4
orig,0.336254,0.00857407,8
orig,0.246927,0.00953939,16
orig,0.147048,0.0115523,32
orig,0.138767,0.015452,64
orig,0.133993,0.0229351,128
orig,0.129379,0.03622,256
orig,0.126295,0.0584879,512
orig,0.129279,0.0941837,1024
orig,0.137573,0.15503,2048
orig,0.682504,0.0272611,2
orig,0.58149,0.00849542,4
orig,0.4747,0.00810171,8
orig,0.218288,0.0108988,16
orig,0.151179,0.0130417,32
orig,0.138604,0.0154376,64
orig,0.133483,0.022821,128
orig,0.129104,0.0377677,256
orig,0.126484,0.0582575,512
